[18, 0, 2, 5, 16, 20, 9, 1]
[1, 18, 5, 4, 20, 16, 13, 15]
[13, 18, 12, 9, 17, 3, 16, 7]
[6, 13, 15, 4, 5, 18, 12, 1]
[2, 13, 12, 3, 6, 7, 4, 5]
[20, 16, 10, 15, 11, 0, 14, 17]
[3, 13, 19, 8, 6, 5, 11, 10]
[17, 14, 11, 10, 16, 13, 18, 6]
[17, 4, 2, 19, 13, 5, 7, 6]
[2, 8, 19, 17, 14, 6, 15, 11]
[7, 9, 4, 10, 8, 13, 17, 16]
[5, 12, 0, 16, 6, 4, 15, 19]
[1, 14, 0, 11, 12, 4, 5, 7]
[4, 6, 8, 17, 18, 19, 9, 20]
[11, 15, 3, 16, 6, 2, 18, 5]
[14, 7, 11, 12, 6, 19, 5, 17]
[14, 12, 11, 0, 16, 5, 3, 18]
[3, 12, 5, 9, 4, 8, 18, 16]
[13, 11, 2, 0, 8, 16, 4, 19]
[1, 0, 3, 15, 9, 8, 16, 4]
[0, 16, 12, 9, 4, 17, 13, 6]
[4, 12, 3, 7, 1, 2, 11, 5]
[1, 3, 16, 19, 6, 9, 11, 15]
[10, 20, 0, 1, 16, 13, 6, 11]
[16, 19, 18, 7, 6, 15, 5, 0]
[9, 0, 12, 2, 10, 11, 4, 18]
[7, 18, 6, 16, 12, 13, 20, 19]
[14, 9, 6, 17, 16, 0, 4, 8]
[3, 19, 16, 15, 1, 8, 14, 7]
[8, 5, 14, 1, 2, 11, 4, 3]
[1, 16, 9, 13, 3, 10, 7, 11]
[18, 4, 19, 14, 10, 20, 0, 15]
[16, 11, 1, 10, 0, 14, 2, 19]
[11, 13, 14, 18, 2, 6, 9, 3]
[2, 19, 18, 1, 4, 5, 15, 9]
[20, 7, 8, 1, 12, 14, 2, 9]
[8, 14, 20, 5, 4, 13, 7, 15]
[19, 16, 4, 2, 8, 1, 10, 18]
[6, 4, 14, 18, 5, 17, 16, 13]
[19, 8, 14, 3, 12, 1, 18, 16]
[0, 17, 14, 9, 18, 7, 4, 3]
[4, 3, 7, 20, 17, 13, 16, 2]
[7, 8, 3, 10, 4, 11, 20, 1]
[20, 6, 11, 7, 0, 3, 4, 2]
[10, 11, 9, 18, 15, 0, 5, 13]
[2, 13, 5, 16, 10, 20, 14, 9]
[18, 16, 4, 0, 8, 12, 14, 5]
[19, 8, 13, 14, 12, 1, 15, 0]
[1, 7, 12, 2, 13, 4, 3, 10]
[12, 8, 10, 16, 3, 5, 6, 13]
[16, 7, 2, 13, 5, 11, 18, 14]
[4, 7, 20, 12, 15, 0, 19, 10]
[14, 17, 7, 4, 16, 6, 9, 10]
[3, 14, 1, 13, 19, 9, 12, 7]
[20, 7, 15, 18, 5, 16, 13, 0]
[9, 16, 14, 5, 12, 1, 17, 8]
[17, 9, 18, 11, 16, 3, 19, 4]
[12, 16, 3, 6, 5, 11, 14, 17]
[8, 10, 4, 7, 2, 3, 15, 11]
[17, 0, 3, 18, 19, 2, 12, 5]
[18, 19, 15, 13, 0, 9, 10, 5]
[17, 12, 10, 18, 3, 6, 11, 13]
[14, 16, 0, 8, 20, 7, 19, 4]
[2, 6, 7, 16, 9, 18, 14, 1]
[3, 18, 14, 7, 15, 1, 10, 16]
[18, 3, 7, 1, 20, 19, 11, 12]
[12, 9, 5, 8, 2, 10, 20, 17]
[15, 20, 19, 12, 11, 3, 0, 14]
[11, 2, 13, 18, 17, 7, 0, 12]
[1, 19, 12, 6, 10, 16, 17, 13]
[15, 14, 2, 0, 10, 3, 1, 4]
[13, 1, 18, 12, 19, 16, 10, 7]
[17, 7, 11, 20, 15, 10, 12, 3]
[13, 8, 11, 3, 18, 14, 0, 15]
[7, 4, 17, 8, 1, 18, 15, 19]
[4, 19, 3, 20, 5, 12, 18, 1]
[4, 2, 12, 17, 13, 7, 16, 10]
[14, 9, 0, 4, 1, 19, 18, 10]
[10, 1, 8, 17, 11, 6, 7, 20]
[16, 4, 7, 1, 3, 10, 17, 15]
[14, 1, 2, 7, 11, 5, 13, 0]
[5, 1, 17, 14, 3, 4, 19, 11]
[9, 11, 15, 16, 17, 8, 4, 3]
[8, 14, 2, 4, 9, 10, 17, 7]
[4, 18, 6, 15, 10, 11, 3, 12]
[6, 19, 7, 11, 16, 2, 9, 12]
[16, 10, 17, 9, 6, 18, 13, 0]
[9, 6, 0, 10, 7, 20, 1, 2]
[9, 12, 8, 1, 16, 18, 3, 13]
[1, 20, 12, 13, 0, 5, 3, 18]
[11, 12, 3, 8, 17, 15, 1, 2]
[16, 13, 1, 2, 0, 14, 5, 6]
[12, 20, 6, 9, 16, 4, 11, 15]
[8, 17, 9, 1, 10, 7, 18, 14]
[1, 17, 15, 9, 0, 12, 11, 3]
[8, 5, 2, 7, 17, 4, 3, 9]
[6, 1, 7, 12, 16, 19, 4, 20]
[15, 13, 6, 9, 17, 16, 19, 14]
[6, 15, 18, 0, 13, 8, 2, 11]
[15, 19, 8, 2, 14, 13, 1, 10]
